O	D	Flow
1	1	45
1	3	39
1	4	5
1	5	5
1	6	58
1	7	49
1	8	14
1	9	83
1	10	287
1	11	85
1	12	62
1	13	54
1	14	49
1	15	172
1	16	162
1	17	151
1	18	44
1	19	66
1	20	51
1	21	42
1	22	15
1	23	10
1	24	103
1	25	197
1	26	5
1	27	42
1	28	81
1	29	81
1	30	30
1	31	75
1	32	90
1	33	86
1	34	24
1	35	77
1	36	35
1	37	30
1	38	47
1	39	116
1	40	108
1	41	48
1	42	196
1	43	23
1	44	36
1	45	15
1	46	9
1	47	62
1	48	106
1	49	35
1	50	13
1	51	23
2	3	2
2	6	1
2	7	1
2	10	5
2	11	3
2	15	1
2	19	1
2	21	1
2	23	1
2	24	5
2	25	1
2	27	1
2	28	2
2	30	2
2	31	2
2	32	4
2	33	3
2	38	3
2	39	4
2	40	1
2	41	2
2	42	3
2	43	1
2	44	1
2	45	1
2	47	2
2	48	3
2	49	1
3	1	27
3	2	7
3	3	83
3	4	2
3	5	8
3	6	51
3	7	71
3	8	58
3	9	128
3	10	161
3	11	176
3	12	58
3	13	78
3	14	38
3	15	65
3	16	80
3	17	88
3	18	69
3	19	54
3	20	52
3	21	52
3	22	35
3	23	35
3	24	97
3	25	97
3	26	8
3	27	141
3	28	144
3	29	83
3	30	56
3	31	78
3	32	93
3	33	86
3	34	53
3	35	106
3	36	20
3	37	42
3	38	93
3	39	398
3	40	51
3	41	53
3	42	132
3	43	28
3	44	52
3	45	21
3	46	28
3	47	148
3	48	127
3	49	57
3	50	18
3	51	28
4	1	8
4	3	2
4	4	15
4	5	14
4	6	3
4	7	29
4	8	28
4	9	9
4	10	14
4	11	5
4	12	1
4	13	8
4	14	10
4	15	10
4	16	7
4	17	1
4	18	1
4	19	8
4	20	32
4	21	29
4	22	46
4	23	29
4	24	5
4	25	4
4	26	49
4	27	7
4	28	26
4	29	12
4	30	23
4	31	13
4	32	11
4	33	10
4	35	5
4	36	1
4	37	8
4	38	15
4	39	8
4	40	5
4	41	7
4	42	13
4	43	51
4	44	25
4	45	93
4	46	90
4	47	17
4	48	6
4	49	2
4	50	12
4	51	33
5	1	4
5	3	4
5	4	6
5	5	18
5	6	4
5	7	40
5	8	10
5	9	16
5	10	11
5	11	8
5	12	4
5	13	11
5	14	23
5	15	13
5	16	10
5	17	3
5	18	2
5	19	14
5	20	24
5	21	33
5	22	61
5	23	24
5	24	9
5	25	8
