O	D	Flow
18	29	509.862953
32	9	510.2795344
10	9	502.0566553
3	18	497.8527057
14	18	497.8675657
32	1	502.6883595
7	10	502.1935323
17	13	503.0305898
34	14	493.5922137
32	24	494.7330371
32	37	500.461671
14	37	504.3007008
4	10	492.8067166
7	2	497.642196
30	20	497.804498
20	21	504.545179
28	10	497.2655476
20	20	494.9313573
32	21	499.4766589
7	20	499.3831047
7	21	498.4986973
7	9	504.7609707
29	37	503.251131
13	20	492.7667862
4	2	503.8920059
29	14	498.490613
8	9	500.4713394
17	37	496.3842368
29	1	498.6429888
28	13	491.561087
13	24	497.7202071
13	29	501.8571814
29	18	498.4926555
4	37	502.2033814
8	21	501.8591825
3	9	493.1235935
3	30	502.2024834
10	10	500.9922515
17	1	499.8526132
13	14	496.2005079
1	8	499.4071503
28	21	495.5140277
20	14	496.9702656
13	15	500.9570422
20	29	503.0793019
28	15	501.9450432
3	15	501.1309213
32	30	504.2956249
1	18	498.4995697
32	10	493.6895257
32	18	503.1908551
29	8	497.4363044
17	24	491.7906429
14	14	504.1939116
4	17	500.1531871
28	17	494.923258
8	18	498.1984773
10	17	498.3963235
1	37	498.3083324
10	20	499.2534264
7	17	505.9968753
34	29	496.1309104
8	20	500.5842958
28	29	491.1785335
10	14	506.8010859
1	9	501.3194192
18	20	494.363416
18	9	498.6753871
7	29	505.2939934
13	13	495.1683751
8	24	493.1673826
14	10	501.6873117
30	29	489.3857077
20	15	495.7526741
18	8	510.9089161
17	14	496.8266057
17	2	496.5575277
8	17	497.1102826
3	29	489.7173312
10	18	493.951333
8	37	503.7991679
13	21	507.7113494
10	21	501.8529336
18	14	506.9007251
28	20	493.6421904
17	18	506.7685321
7	30	505.0482497
8	29	498.5534778
34	1	504.118781
34	13	499.8224022
3	20	496.7095934
29	24	492.4042097
13	17	495.025505
10	37	496.6721585
8	8	487.6214387
30	1	504.3947677
29	9	502.9043184
32	13	496.8759097
34	20	499.5898923
8	1	498.7617128
14	2	498.330729
28	24	503.4934272
17	8	502.8125963
3	8	499.2605834
4	18	494.1858899
30	15	506.9141469
32	15	502.298308
4	24	502.4423075
20	1	502.706761
34	24	503.4623911
1	15	500.5102384
3	2	492.0403689
29	15	500.2317486
17	9	504.306209
1	1	504.1475456
34	18	505.4443478
20	37	500.5384099
18	21	494.2154585
3	13	507.4788077
28	1	509.622233
20	18	496.8343186
32	2	504.7380863
14	8	490.3725328
4	9	502.1441805
14	9	495.3301652
18	2	500.3402847
8	30	502.2907679
3	21	493.7909246
28	14	500.7732506
34	21	511.7099902
32	17	499.339625
4	30	497.1817362
18	24	500.5272598
32	8	506.5768103
4	13	499.6950396
1	20	491.6893274
10	29	503.6369313
14	30	495.5412767
20	8	507.4745973
4	29	491.5256788
10	2	495.9437496
34	30	509.7865642
4	21	501.1355956
32	14	496.9342449
30	21	495.6533941
18	30	504.6888585
1	21	500.4492139
3	17	508.3830153
34	9	502.1871909
34	15	500.0769136
29	13	506.6050044
7	14	498.6535288
30	2	497.2990134
10	15	496.0454152
20	30	486.6404924
8	14	490.8562523
3	37	517.2709242
17	29	491.3073555
34	8	504.7887512
14	13	496.1991287
18	15	501.0165807
20	10	500.9962697
14	29	496.6776632
29	21	491.5453445
18	18	504.0175409
14	24	493.9669387
7	37	506.6833538
13	8	509.9404403
34	37	506.7201657
30	17	493.866123
3	14	503.7830118
20	17	494.5974208
29	20	498.3163484
28	2	494.2398608
18	1	494.7058948
14	21	499.2171387
28	8	502.8304272
8	13	499.2848907
10	30	500.2356392
30	8	497.4096151
13	30	502.7177385
30	9	502.6271817
34	2	504.1738739
28	9	494.8406737
3	10	509.9599975
7	8	499.8906585
30	37	494.5336682
30	18	496.7614518
29	29	500.0615471
34	10	499.9030271
13	10	493.0906869
7	1	504.1717093
8	10	495.6800137
1	29	506.8429684
4	20	501.3635532
7	24	502.0931619
20	2	499.1232532
4	15	502.3733742
32	29	498.1004241
3	24	501.1403465
1	14	501.5182548
8	2	505.2550071
32	20	496.121361
1	17	499.8659633
30	14	500.2648766
28	37	496.3693771
20	9	498.1734489
7	18	499.5848303
30	10	496.101454
13	9	495.14047
20	24	505.4864105
18	10	504.6714646
4	8	496.4520072
4	1	495.8182441
17	17	499.6538976
1	13	500.4768851
1	2	499.6066358
13	2	498.2459314
13	18	496.1502091
13	37	494.6069268
10	13	496.0442723
29	2	494.0285693
10	24	498.1610462
29	17	500.9087444
29	30	501.8768491
3	1	495.4525457
17	30	501.367814
17	20	487.1914431
10	8	503.9201727
18	37	506.6551745
10	1	513.0866272
28	30	507.6472
30	13	501.3224167
29	10	505.6343187
18	13	500.8569909
14	17	501.2988941
1	24	494.1248724
8	15	496.638484
14	1	497.2077898
