O	D	Flow
18	29	490.8309288
32	9	506.2151293
10	9	511.5971215
3	18	499.4755511
14	18	504.7421049
32	1	502.2501401
7	10	504.2716223
17	13	508.640169
34	14	495.2544844
32	24	510.5712828
32	37	497.5207071
14	37	500.8831613
4	10	499.2904595
7	2	502.4459457
30	20	500.260906
20	21	491.9601664
28	10	482.0486808
20	20	502.3026741
32	21	495.4278453
7	20	493.2901851
7	21	498.694121
7	9	497.5641049
29	37	492.4214198
13	20	496.1036499
4	2	500.1570199
29	14	486.8849491
8	9	496.3895492
17	37	502.3957923
29	1	498.0356932
28	13	493.1924581
13	24	496.7002492
13	29	483.9478179
29	18	504.9225258
4	37	498.350279
8	21	501.8500038
3	9	502.4971758
3	30	500.2784015
10	10	498.7382702
17	1	495.8266196
13	14	506.0399369
1	8	494.2861182
28	21	501.937341
20	14	504.7907331
13	15	504.4992109
20	29	501.2497433
28	15	507.8538922
3	15	497.6217138
32	30	509.3678191
1	18	502.2535075
32	10	495.4836586
32	18	501.7066316
29	8	498.7286127
17	24	500.4185661
14	14	499.2945891
4	17	504.3448592
28	17	503.1431287
8	18	499.6342429
10	17	496.4720952
1	37	502.2317396
10	20	494.4383128
7	17	501.6852478
34	29	506.8286068
8	20	495.3995971
28	29	504.7844898
10	14	502.46639
1	9	499.3579967
18	20	495.2542613
18	9	507.8926246
7	29	499.6043453
13	13	500.1045205
8	24	506.175268
14	10	501.3484855
30	29	491.5147056
20	15	495.9762897
18	8	499.9282844
17	14	497.3267975
17	2	496.679474
8	17	494.1350248
3	29	504.3178963
10	18	494.9152039
8	37	491.7305972
13	21	496.2233951
10	21	505.3362712
18	14	496.9825548
28	20	506.3817725
17	18	494.0508183
7	30	495.0811206
8	29	498.0380116
34	1	501.9865443
34	13	506.4848559
3	20	497.7052594
29	24	505.0408659
13	17	501.6174949
10	37	509.5759384
8	8	493.7118081
30	1	508.939918
29	9	501.1981471
32	13	506.5588455
34	20	503.7805483
8	1	500.6508135
14	2	504.8874513
28	24	500.2441643
17	8	498.9720909
3	8	498.1201267
4	18	496.7519604
30	15	506.918829
32	15	501.5958606
4	24	492.3595175
20	1	498.5324297
34	24	496.0663734
1	15	497.4933042
3	2	498.1097745
29	15	485.442812
17	9	504.621437
1	1	505.2044509
34	18	502.836751
20	37	504.7525959
18	21	509.9682846
3	13	501.9747882
28	1	499.6531155
20	18	501.5746398
32	2	499.9703498
14	8	492.8717829
4	9	491.2370882
14	9	498.5031394
18	2	505.3015437
8	30	499.510692
3	21	504.2286538
28	14	494.5643524
34	21	502.550032
32	17	495.8064645
4	30	504.0657696
18	24	511.1709001
32	8	493.8696277
4	13	496.4992394
1	20	497.6026938
10	29	503.0328905
14	30	504.9962759
20	8	502.4671475
4	29	492.9346752
10	2	500.1080037
34	30	506.1477892
4	21	491.1696965
32	14	504.1355289
30	21	507.55322
18	30	502.7644379
1	21	500.1733308
3	17	504.5851836
34	9	498.2159367
34	15	494.3076461
29	13	503.7452168
7	14	503.2490608
30	2	498.1710456
10	15	497.4256372
20	30	501.0389284
8	14	503.7188939
3	37	508.4195738
17	29	497.2977097
34	8	501.8876696
14	13	490.3446945
18	15	508.221494
20	10	495.4945895
14	29	501.2311065
29	21	499.8251898
18	18	501.1194178
14	24	498.7641728
7	37	500.995829
13	8	499.690525
34	37	500.21343
30	17	499.021002
3	14	506.7662378
20	17	491.780424
29	20	499.4235985
28	2	507.6667535
18	1	494.0693403
14	21	506.115152
28	8	498.2329569
8	13	505.1479657
10	30	497.8600003
30	8	486.3330849
13	30	493.8244481
30	9	503.4903933
34	2	491.1809362
28	9	498.2108431
3	10	504.1196095
7	8	496.2203726
30	37	498.792982
30	18	502.9798491
29	29	508.146965
34	10	496.5261521
13	10	507.1810255
7	1	502.3580583
8	10	510.4999408
1	29	505.57447
4	20	487.0843518
7	24	496.4451154
20	2	494.7227306
4	15	501.2853518
32	29	501.5806669
3	24	502.6209715
1	14	494.6962265
8	2	505.5078316
32	20	503.331251
1	17	503.4512497
30	14	497.8033215
28	37	507.6714542
20	9	502.1194514
7	18	487.4783679
30	10	494.3581947
13	9	499.8801723
20	24	499.4183141
18	10	503.2122301
4	8	496.0528866
4	1	502.9405998
17	17	498.6601756
1	13	497.5265121
1	2	498.3889043
13	2	497.0744875
13	18	497.8730939
13	37	496.9795847
10	13	502.9716209
29	2	504.1361481
10	24	510.6485334
29	17	489.7497635
29	30	500.9056783
3	1	507.5886027
17	30	499.5862367
17	20	507.637531
10	8	499.1324755
18	37	498.1851769
10	1	496.5846617
28	30	502.9809647
30	13	505.7121878
29	10	494.809369
18	13	493.7960453
14	17	500.5642535
1	24	500.3874889
8	15	501.8238732
14	1	493.8734634
34	17	497.1491672
4	14	504.0028772
18	17	496.1723346
14	15	496.8670955
28	18	502.8628198
1	30	492.5424115
30	24	495.0425234
30	30	499.4640392
17	21	509.0999985
13	1	506.5107151
1	10	506.2077822
7	15	491.3533802
17	10	496.6688591
7	13	501.6883618
17	15	501.6327942
20	13	513.0166285
14	20	496.2785091
34	26	741.6517845
30	33	628.2517507
30	34	476.0886894
25	14	459.9060135
1	25	511.0024066
2	4	557.1698577
22	35	433.572063
12	29	463.3498607
30	5	485.6775731
25	9	474.8919394
30	22	528.0633408
29	33	445.8425313
3	33	353.3424009
4	33	582.6865024
32	6	558.4497568
36	8	633.7200479
14	6	482.3983931
37	25	458.1546119
4	32	570.3126175
35	30	500.4558471
11	18	506.6714577
18	12	595.7420077
17	32	321.6300716
5	20	522.5738838
16	9	627.5055574
22	36	598.8348121
16	12	430.5372276
9	33	384.7797117
23	20	662.5685555
28	4	476.9795996
22	7	487.6979332
