O	D	Flow
18	29	294.9349517
32	9	295.0123311
10	9	299.75061
3	18	299.7503649
14	18	299.1717066
32	1	299.2304679
7	10	300.3370509
17	13	298.7808799
34	14	299.822526
32	24	300.9038728
32	37	297.2285707
14	37	298.227471
4	10	303.5193548
7	2	295.942574
30	20	298.2063029
20	21	298.7620439
28	10	297.9514578
20	20	299.3449875
32	21	302.3818558
7	20	295.1229639
7	21	300.4425228
7	9	299.9194145
29	37	307.4256002
13	20	301.6445059
4	2	301.7978588
29	14	300.7225455
8	9	303.1072691
17	37	298.5216976
29	1	299.3659853
28	13	303.7585017
13	24	301.6687772
13	29	298.2280762
29	18	301.4079863
4	37	301.1629438
8	21	305.8636634
3	9	300.3160973
3	30	302.3242191
10	10	302.5487442
17	1	299.2810409
13	14	301.6589668
34	26	165.7192277
1	8	300.3496672
28	21	302.927881
20	14	305.9229345
13	15	305.9856285
20	29	299.5866099
28	15	300.0458906
3	15	297.4205433
32	30	294.6532197
1	18	297.7955891
30	33	158.4967485
32	10	298.9622006
32	18	297.1359556
29	8	300.1549075
17	24	304.0229647
14	14	300.5135716
4	17	297.4630576
28	17	298.18906
8	18	302.8535745
10	17	302.6254978
1	37	298.8318222
10	20	301.7172868
7	17	301.9965546
34	29	294.3404318
8	20	299.4229019
28	29	297.6947001
10	14	296.9181971
1	9	305.5594899
18	20	303.5641337
18	9	296.7110561
7	29	297.7726127
13	13	303.3270926
8	24	300.070577
14	10	304.0007336
30	29	302.2314642
20	15	305.2491136
18	8	297.7706575
17	14	298.484479
17	2	300.4133136
8	17	302.8030005
3	29	300.3054449
10	18	296.5325134
8	37	299.0984447
13	21	296.0205092
10	21	300.2367795
30	34	159.6220577
18	14	301.5673663
28	20	297.5452242
17	18	304.4252636
7	30	298.7430969
8	29	298.7974058
34	1	299.7724131
34	13	297.8853061
3	20	302.1064206
29	24	299.4139128
13	17	297.5205424
10	37	300.874028
8	8	301.718284
30	1	301.4180744
29	9	301.2647612
32	13	300.4673439
34	20	298.9818977
8	1	297.1820314
14	2	297.4487248
28	24	302.3042285
17	8	305.0715981
3	8	303.597567
4	18	300.957112
30	15	300.2553201
25	14	150.4220686
32	15	300.3426007
4	24	302.3118866
20	1	303.120529
34	24	301.3627812
1	15	300.5603137
3	2	300.7476228
29	15	298.3734761
17	9	297.1942505
1	1	299.6797698
34	18	296.6994434
20	37	297.1985178
18	21	304.4256083
3	13	299.5318333
28	1	303.0781473
20	18	305.447294
32	2	299.1411893
14	8	305.5388218
4	9	291.1754314
14	9	302.4458693
18	2	299.9990295
8	30	296.2218384
3	21	294.0380229
1	25	241.7073904
28	14	299.51292
34	21	298.6781574
32	17	302.4341349
4	30	297.6031616
18	24	306.0716523
32	8	301.1835652
4	13	303.3957147
1	20	299.3712844
10	29	304.5122098
14	30	305.922512
20	8	297.1105627
4	29	297.5936241
10	2	297.3560571
34	30	300.1673794
4	21	301.265468
32	14	299.6138883
30	21	299.3103767
18	30	303.1504477
1	21	301.8779887
3	17	297.8545072
34	9	292.9694173
34	15	295.5447209
2	4	246.3754822
29	13	302.179237
7	14	298.7662247
30	2	296.0960818
22	35	229.0648829
10	15	298.467243
20	30	305.0453132
8	14	294.4612035
3	37	305.4767468
17	29	299.6379935
12	29	152.2120645
34	8	297.3840317
30	5	332.7502089
14	13	300.9042223
18	15	295.5187076
20	10	298.1025246
14	29	296.4777519
29	21	303.456665
18	18	301.9025602
14	24	302.6290825
7	37	302.1694302
13	8	303.7110282
34	37	300.9447042
30	17	299.7166908
3	14	295.9497541
20	17	304.9781962
29	20	295.1531683
28	2	295.868606
25	9	260.1707326
18	1	298.8784891
30	22	187.3411044
14	21	296.7912038
29	33	205.0284766
28	8	299.0297361
8	13	301.6295296
10	30	295.6978061
3	33	195.8953798
30	8	299.839253
4	33	193.4631312
32	6	236.9284366
13	30	299.8382691
30	9	300.2376218
34	2	301.6179035
28	9	301.9431479
3	10	295.2546643
36	8	229.3798261
7	8	295.2185473
30	37	295.1695778
14	6	191.9215869
30	18	290.4947925
29	29	299.7696445
34	10	304.0726589
13	10	298.9679194
7	1	304.2886684
8	10	301.8352265
37	25	163.0069904
1	29	305.4305267
4	20	304.7365855
7	24	294.8944652
4	32	237.8494557
20	2	295.7145273
4	15	299.7093315
32	29	300.3871852
3	24	296.7879281
35	30	195.8732169
1	14	295.5908115
11	18	185.6072619
18	12	189.0742504
17	32	236.7019763
8	2	297.7824103
5	20	168.0094763
32	20	302.2349751
16	9	193.5705328
1	17	298.8114186
30	14	301.7124954
28	37	303.6702399
20	9	305.7508462
7	18	298.456117
22	36	262.5458334
16	12	128.4905676
30	10	300.0785833
9	33	144.5839028
13	9	298.4318503
23	20	198.8148685
28	4	231.6268668
22	7	137.3998559
20	24	296.1111432
16	2	215.0716436
2	33	167.353887
18	10	295.3708887
12	8	247.7488051
4	8	301.1567125
23	31	149.2015241
27	17	219.7062117
15	35	213.7839062
35	22	258.4097004
3	32	155.6814247
27	35	162.536591
4	1	303.9878816
17	17	294.4870402
9	17	220.9797944
26	4	108.0409119
1	13	300.9707987
1	2	304.6110879
17	27	183.7653573
13	2	297.9464821
13	18	294.5623065
4	28	226.0529879
8	26	204.0425627
13	37	299.1789408
19	20	140.4949625
2	2	167.3255223
10	13	300.724847
19	32	186.5571809
16	8	168.8991698
19	8	271.5278244
27	30	175.8477188
29	2	294.4393715
10	24	301.0590684
29	17	302.3865959
29	30	303.3823769
23	18	173.4031908
34	28	196.4469831
3	1	296.1933919
27	10	164.9492944
26	11	210.9690476
11	5	244.7367569
13	35	210.7342571
9	21	204.3618006
23	25	208.3148854
32	36	307.3418627
14	4	168.4261616
9	10	202.5148635
28	26	173.7961567
17	30	293.0687965
10	36	173.8009501
34	4	237.0889423
14	25	223.3675789
15	24	224.9073511
37	31	206.5856049
23	14	157.0750058
26	16	161.2975285
17	20	302.1785936
10	8	303.1099175
21	22	225.6316502
9	7	179.9090014
18	37	300.1251051
23	35	269.507257
8	16	196.3520846
1	34	202.247332
17	3	283.9947733
10	1	299.2737672
6	21	156.4508065
19	4	264.2335071
9	15	146.6332548
12	36	181.2079964
19	11	210.0118786
