O	D	Flow
1	1	25
1	3	2
1	5	2
1	6	6
1	7	6
1	8	4
1	9	8
1	10	84
1	11	3
1	12	5
1	13	12
1	14	4
1	15	35
1	16	23
1	17	34
1	18	7
1	19	17
1	20	5
1	21	4
1	24	22
1	25	38
1	27	3
1	28	3
1	29	4
1	30	2
1	31	3
1	32	10
1	33	7
1	34	2
1	35	6
1	36	9
1	37	5
1	38	2
1	39	15
1	40	32
1	41	9
1	42	23
1	43	1
1	44	2
1	45	1
1	46	2
1	47	9
1	48	16
1	49	4
1	50	1
1	51	5
2	2	2
2	3	4
2	6	5
2	7	2
2	9	1
2	10	2
2	11	2
2	12	1
2	14	1
2	17	1
2	19	1
2	25	3
2	27	2
2	28	1
2	29	2
2	31	2
2	32	2
2	34	1
2	38	3
2	39	1
2	42	1
2	45	1
2	47	2
2	48	4
2	49	2
3	1	16
3	2	13
3	3	64
3	4	1
3	5	8
3	6	21
3	7	39
3	8	12
3	9	74
3	10	50
3	11	98
3	12	65
3	13	42
3	14	24
3	15	40
3	16	33
3	17	36
3	18	47
3	19	28
3	20	16
3	21	13
3	22	18
3	23	10
3	24	45
3	25	27
3	26	4
3	27	86
3	28	49
3	29	52
3	30	34
3	31	36
3	32	49
3	33	69
3	34	26
3	35	54
3	36	6
3	37	19
3	38	70
3	39	305
3	40	15
3	41	24
3	42	63
3	43	16
3	44	23
3	45	9
3	46	13
3	47	76
3	48	74
3	49	40
3	50	8
3	51	13
4	3	3
4	4	36
4	5	17
4	7	11
4	8	8
4	9	6
4	10	1
4	12	1
4	13	6
4	14	2
4	15	3
4	16	2
4	17	3
4	20	7
4	21	10
4	22	43
4	23	27
4	25	1
4	26	60
4	27	2
4	28	9
4	29	10
4	30	15
4	31	4
4	32	6
4	33	7
4	36	2
4	37	3
4	38	10
4	39	5
4	41	3
4	42	6
4	43	33
4	44	25
4	45	154
4	46	92
4	47	9
4	48	4
4	49	2
4	50	9
4	51	14
5	2	1
5	3	11
5	4	21
5	5	276
5	7	102
5	8	30
5	9	33
5	10	10
5	11	3
5	12	4
5	13	18
5	14	43
5	15	18
5	16	22
5	17	5
5	18	5
5	19	9
5	20	81
5	21	109
5	22	258
5	23	95
5	24	10
5	25	6
5	26	59
5	27	12
5	28	271
5	29	125
5	30	167
5	31	57
5	32	51
5	33	68
5	34	6
5	35	11
5	36	5
5	37	55
5	38	121
5	39	20
5	40	2
5	41	21
5	42	47
5	43	354
5	44	311
5	45	204
5	46	232
5	47	25
5	48	17
5	49	4
5	50	62
5	51	106
6	1	11
6	3	12
6	5	1
6	6	19
6	7	4
6	8	2
6	9	6
6	10	36
6	11	26
6	12	12
6	13	7
6	14	2
6	15	10
6	16	10
6	17	8
6	18	7
6	19	11
6	20	6
6	21	3
6	22	4
6	24	15
6	25	31
6	26	1
6	27	4
6	28	8
6	29	7
6	30	2
6	31	10
6	32	10
6	33	6
6	34	5
6	35	11
6	36	4
6	37	9
6	38	12
6	39	25
6	40	19
6	41	7
6	42	13
6	43	2
6	44	1
6	45	3
6	46	1
6	47	4
6	48	5
6	49	11
6	50	5
6	51	5
7	1	14
7	2	5
7	3	63
7	4	29
7	5	122
7	6	8
7	7	849
7	8	429
7	9	587
7	10	77
7	11	20
7	12	17
7	13	155
7	14	170
7	15	92
7	16	62
7	17	36
7	18	26
7	19	77
7	20	94
7	21	98
7	22	490
7	23	287
7	24	26
7	25	40
7	26	79
7	27	81
7	28	590
7	29	235
7	30	406
7	31	212
7	32	252
7	33	291
7	34	16
7	35	36
7	36	16
7	37	127
7	38	493
7	39	92
7	40	9
7	41	95
7	42	174
7	43	135
7	44	173
7	45	172
7	46	297
7	47	381
7	48	127
7	49	26
7	50	32
7	51	76
8	1	3
8	2	4
8	3	30
8	4	15
8	5	25
8	6	2
8	7	223
8	8	91
8	9	138
8	10	22
8	11	10
8	12	7
8	13	38
8	14	58
8	15	21
8	16	18
8	17	10
8	18	4
8	19	9
8	20	22
8	21	24
8	22	139
8	23	103
8	24	7
8	25	3
8	26	26
8	27	32
8	28	94
8	29	51
8	30	106
8	31	66
8	32	42
8	33	95
8	34	1
8	35	14
8	36	3
8	37	25
8	38	111
8	39	22
8	40	3
8	41	22
8	42	40
8	43	34
8	44	40
8	45	62
8	46	85
8	47	112
8	48	33
8	49	3
8	50	5
8	51	13
9	1	26
9	2	7
9	3	99
9	4	13
9	5	33
9	6	16
9	7	391
9	8	193
9	9	545
9	10	151
9	11	47
9	12	17
9	13	283
9	14	147
9	15	158
9	16	139
9	17	85
9	18	36
9	19	70
9	20	39
9	21	59
9	22	90
9	23	87
9	24	68
9	25	81
9	26	30
9	27	175
9	28	228
9	29	83
9	30	149
9	31	194
9	32	220
9	33	240
9	34	15
9	35	60
9	36	26
9	37	60
9	38	216
9	39	143
9	40	18
9	41	65
9	42	367
9	43	59
9	44	79
9	45	62
9	46	73
9	47	411
9	48	254
9	49	24
9	50	31
9	51	47
10	1	280
10	2	3
10	3	49
10	4	2
10	5	20
10	6	44
10	7	82
10	8	29
10	9	134
10	10	698
10	11	76
10	12	36
10	13	184
10	14	49
10	15	482
10	16	267
10	17	265
10	18	65
10	19	262
10	20	71
10	21	89
10	22	38
10	23	19
10	24	149
10	25	302
10	26	7
10	27	99
10	28	123
10	29	126
10	30	41
10	31	156
10	32	320
10	33	176
10	34	24
10	35	116
10	36	106
10	37	118
10	38	75
10	39	125
10	40	151
10	41	116
10	42	316
10	43	49
10	44	59
10	45	24
10	46	29
10	47	72
10	48	236
10	49	20
10	50	32
10	51	77
11	1	29
11	3	82
11	5	4
11	6	61
11	7	17
11	8	12
11	9	40
11	10	102
11	11	63
11	12	50
11	13	13
11	14	17
11	15	35
11	16	24
11	17	39
11	18	26
11	19	41
11	20	30
11	21	31
11	22	8
11	23	8
11	24	47
11	25	59
11	26	3
11	27	28
11	28	45
11	29	57
11	30	14
11	31	28
11	32	53
11	33	33
11	34	43
11	35	36
11	36	10
11	37	30
11	38	29
11	39	130
11	40	40
11	41	35
11	42	52
11	43	14
11	44	23
11	45	12
11	46	8
11	47	30
11	48	49
11	49	44
11	50	17
11	51	15
12	1	23
12	3	47
12	6	25
12	7	22
12	8	4
12	9	23
12	10	35
12	11	47
12	12	15
12	13	10
12	14	9
12	15	25
12	16	8
12	17	9
12	18	4
12	19	18
12	20	12
12	21	2
12	22	2
12	23	4
12	24	15
12	25	39
12	26	2
12	27	14
12	28	20
12	29	28
12	30	11
12	31	7
12	32	29
12	33	23
12	34	38
12	35	13
12	36	9
12	37	13
12	38	18
12	39	57
12	40	25
12	41	17
12	42	24
12	43	12
12	44	6
12	45	2
12	46	8
12	47	15
12	48	13
12	49	28
12	50	8
12	51	8
13	1	22
13	3	43
13	4	6
13	5	19
13	6	15
13	7	177
13	8	83
13	9	415
13	10	157
13	11	29
13	12	8
13	13	197
13	14	125
13	15	162
13	16	133
13	17	76
13	18	60
13	19	103
13	20	27
13	21	36
13	22	48
13	23	34
13	24	71
13	25	48
13	26	11
13	27	160
13	28	176
13	29	55
13	30	60
13	31	193
13	32	160
13	33	244
13	34	8
13	35	64
13	36	41
13	37	37
13	38	157
13	39	127
13	40	14
13	41	49
13	42	321
13	43	34
13	44	53
13	45	36
13	46	33
13	47	327
13	48	312
13	49	15
13	50	14
13	51	22
14	1	22
14	2	5
14	3	40
14	4	11
14	5	58
14	6	12
14	7	266
14	8	133
14	9	157
14	10	60
14	11	22
14	12	17
14	13	145
14	14	81
14	15	128
14	16	65
14	17	36
14	18	24
14	19	93
14	20	61
14	21	53
14	22	121
14	23	67
14	24	34
14	25	39
14	26	20
14	27	35
14	28	615
14	29	222
14	30	308
14	31	217
14	32	311
14	33	205
14	34	7
14	35	44
14	36	11
14	37	80
14	38	538
14	39	59
14	40	20
14	41	110
14	42	209
14	43	69
14	44	122
14	45	37
14	46	75
14	47	241
14	48	70
14	49	20
14	50	18
14	51	38
15	1	77
15	2	2
15	3	40
15	4	5
15	5	24
15	6	22
15	7	89
15	8	34
15	9	170
15	10	445
15	11	47
15	12	23
15	13	225
15	14	115
15	15	378
15	16	183
15	17	142
15	18	46
15	19	371
15	20	92
15	21	98
15	22	52
15	23	18
15	24	93
15	25	130
15	26	7
15	27	61
15	28	248
15	29	245
15	30	73
15	31	223
15	32	685
15	33	256
15	34	18
15	35	67
15	36	101
15	37	146
15	38	105
15	39	97
15	40	69
15	41	189
15	42	383
15	43	95
15	44	115
15	45	25
15	46	34
15	47	98
15	48	144
15	49	22
15	50	50
15	51	76
16	1	95
16	2	1
16	3	38
16	4	6
16	5	14
16	6	20
16	7	63
16	8	18
16	9	149
16	10	387
16	11	31
16	12	16
16	13	176
16	14	56
16	15	206
16	16	190
16	17	170
16	18	57
16	19	84
16	20	20
16	21	28
16	22	32
16	23	13
16	24	114
16	25	87
16	26	9
16	27	128
16	28	109
16	29	74
16	30	53
16	31	99
16	32	175
16	33	148
16	34	15
16	35	119
16	36	42
16	37	25
16	38	84
16	39	137
16	40	43
16	41	42
16	42	278
16	43	42
16	44	61
16	45	19
16	46	28
16	47	74
16	48	229
16	49	16
16	50	17
16	51	13
17	1	50
17	3	39
17	4	1
17	5	10
17	6	17
17	7	55
17	8	17
17	9	100
17	10	254
17	11	50
17	12	13
17	13	128
17	14	34
17	15	145
17	16	136
17	17	113
17	18	46
17	19	54
17	20	18
17	21	36
17	22	26
17	23	19
17	24	79
17	25	133
17	26	6
17	27	91
17	28	62
17	29	48
17	30	33
17	31	74
17	32	116
17	33	93
17	34	14
17	35	80
17	36	26
17	37	40
17	38	57
17	39	136
17	40	33
17	41	27
17	42	176
17	43	26
17	44	34
17	45	26
17	46	24
17	47	87
17	48	183
17	49	26
17	50	15
17	51	13
18	1	18
18	2	1
18	3	35
18	4	3
18	5	4
18	6	14
18	7	21
18	8	9
18	9	53
18	10	73
18	11	21
18	12	4
18	13	57
18	14	22
18	15	29
18	16	76
18	17	39
18	18	36
18	19	17
18	20	5
18	21	10
18	22	12
18	23	14
18	24	46
18	25	38
18	27	85
18	28	44
18	29	21
18	30	15
18	31	29
18	32	39
18	33	51
18	34	6
18	35	47
18	36	5
18	37	9
18	38	24
18	39	108
18	40	12
18	41	3
18	42	94
18	43	11
18	44	15
18	45	7
18	46	13
18	47	42
18	48	98
18	49	17
18	50	6
18	51	10
19	1	61
19	2	1
19	3	25
19	4	4
19	5	6
19	6	17
19	7	60
19	8	19
19	9	68
19	10	268
19	11	32
19	12	27
19	13	48
19	14	76
19	15	239
19	16	76
19	17	64
19	18	13
19	19	134
19	20	98
19	21	89
19	22	33
19	23	18
19	24	26
19	25	64
19	26	6
19	27	18
19	28	132
19	29	219
19	30	44
19	31	152
19	32	324
19	33	166
19	34	10
19	35	22
19	36	80
19	37	163
19	38	72
19	39	39
19	40	35
19	41	214
19	42	169
19	43	39
19	44	52
19	45	19
19	46	19
19	47	25
19	48	49
19	49	12
19	50	36
19	51	56
20	1	9
20	3	32
20	4	14
20	5	80
20	6	7
20	7	72
20	8	22
20	9	32
20	10	60
20	11	50
20	12	19
20	13	21
20	14	39
20	15	71
20	16	24
20	17	19
20	18	9
20	19	88
20	20	427
20	21	462
20	22	123
20	23	66
20	24	15
20	25	10
20	26	38
20	27	12
20	28	223
20	29	338
20	30	98
20	31	56
20	32	132
20	33	82
20	34	17
20	35	13
20	36	26
20	37	303
20	38	52
20	39	26
20	40	17
20	41	191
20	42	80
20	43	555
20	44	525
20	45	83
20	46	100
20	47	17
20	48	9
20	49	7
20	50	401
20	51	440
21	1	14
21	3	22
21	4	20
21	5	106
21	6	6
21	7	69
21	8	31
21	9	34
21	10	58
21	11	29
21	12	21
21	13	22
21	14	42
21	15	74
21	16	13
21	17	22
21	18	6
21	19	91
21	20	486
21	21	617
21	22	194
21	23	57
21	24	7
21	25	18
21	26	41
21	27	16
21	28	314
21	29	461
21	30	131
21	31	69
21	32	139
21	33	66
21	34	6
21	35	6
21	36	17
21	37	399
21	38	81
21	39	36
21	40	9
21	41	218
21	42	64
21	43	811
21	44	719
21	45	104
21	46	127
21	47	33
21	48	13
21	49	9
21	50	337
21	51	587
22	1	9
22	2	1
22	3	30
22	4	56
22	5	236
22	6	1
22	7	497
22	8	215
22	9	128
22	10	37
22	11	7
22	12	7
22	13	53
22	14	89
22	15	63
22	16	34
22	17	12
22	18	12
22	19	46
22	20	153
22	21	249
22	22	566
22	23	589
22	24	15
22	25	22
22	26	189
22	27	37
22	28	360
22	29	263
22	30	449
22	31	81
22	32	93
22	33	91
22	34	4
22	35	20
22	36	7
22	37	136
22	38	362
22	39	36
22	40	8
22	41	44
22	42	85
22	43	420
22	44	471
22	45	581
22	46	968
22	47	98
22	48	33
22	49	2
22	50	111
22	51	127
23	1	1
23	2	3
23	3	15
23	4	32
23	5	69
23	6	3
23	7	218
23	8	102
23	9	56
23	10	8
23	11	7
23	12	1
23	13	16
23	14	45
23	15	11
23	16	11
23	17	11
23	18	10
23	19	13
23	20	56
23	21	64
23	22	378
23	23	322
23	24	5
23	25	4
23	26	70
23	27	8
23	28	120
23	29	63
23	30	168
23	31	36
23	32	32
23	33	36
23	34	1
23	35	3
23	36	1
23	37	28
23	38	115
23	39	23
23	40	3
23	41	10
23	42	30
23	43	168
23	44	131
23	45	291
23	46	519
23	47	62
23	48	8
23	49	5
23	50	24
23	51	50
24	1	32
24	2	1
24	3	22
24	4	1
24	5	15
24	6	27
24	7	32
24	8	10
24	9	52
24	10	189
24	11	44
24	12	11
24	13	67
24	14	33
24	15	75
24	16	80
24	17	73
24	18	45
24	19	31
24	20	22
24	21	18
24	22	16
24	23	9
24	24	80
24	25	123
24	26	9
24	27	50
24	28	36
24	29	33
24	30	31
24	31	46
24	32	67
24	33	62
24	34	13
24	35	59
24	36	14
24	37	28
24	38	38
24	39	141
24	40	52
24	41	23
24	42	70
24	43	23
24	44	22
24	45	9
24	46	10
24	47	29
24	48	88
24	49	29
24	50	10
24	51	21
25	1	95
25	2	1
25	3	19
25	4	2
25	5	2
25	6	37
25	7	32
25	8	21
25	9	52
25	10	266
25	11	48
25	12	22
25	13	33
25	14	28
25	15	122
25	16	73
25	17	74
25	18	25
25	19	52
25	20	26
25	21	29
25	22	11
25	23	8
25	24	74
25	25	126
25	26	4
25	27	29
25	28	31
25	29	49
25	30	21
25	31	43
25	32	71
25	33	44
25	34	11
25	35	60
25	36	18
25	37	31
25	38	27
25	39	78
25	40	106
25	41	24
25	42	64
25	43	12
25	44	16
25	45	13
25	46	14
25	47	24
25	48	65
25	49	26
25	50	11
25	51	27
26	1	1
26	3	4
26	4	89
26	5	47
26	6	1
26	7	49
26	8	15
26	9	17
26	10	6
26	11	2
26	12	2
26	13	10
26	14	11
26	15	3
26	16	6
26	17	2
26	18	1
26	19	6
26	20	30
26	21	25
26	22	138
26	23	96
26	24	4
26	25	1
26	26	194
26	27	5
26	28	41
26	29	17
26	30	48
26	31	11
26	32	12
26	33	12
26	35	4
26	36	1
26	37	10
26	38	30
26	39	6
26	40	1
26	41	10
26	42	7
26	43	131
26	44	47
26	45	423
26	46	346
26	47	22
26	48	6
26	50	23
26	51	37
27	1	10
27	2	4
27	3	68
27	4	4
27	5	9
27	6	7
27	7	67
27	8	31
27	9	146
27	10	89
27	11	29
27	12	9
27	13	123
27	14	35
27	15	46
27	16	91
27	17	62
27	18	73
27	19	24
27	20	10
27	21	14
27	22	27
27	23	22
27	24	51
27	25	40
27	26	5
27	27	104
27	28	56
27	29	23
27	30	37
27	31	46
27	32	59
27	33	64
27	34	9
27	35	75
27	36	11
27	37	18
27	38	53
27	39	133
27	40	9
27	41	14
27	42	116
27	43	20
27	44	24
27	45	14
27	46	27
27	47	102
27	48	153
27	49	21
27	50	5
27	51	8
28	1	17
28	3	66
28	4	12
28	5	157
28	6	8
28	7	426
28	8	175
28	9	156
28	10	148
28	11	46
28	12	32
28	13	127
28	14	302
28	15	266
28	16	134
28	17	78
28	18	32
28	19	132
28	20	243
28	21	318
28	22	335
28	23	142
28	24	69
28	25	52
28	26	49
28	27	65
28	28	660
28	29	405
28	30	490
28	31	501
28	32	439
28	33	476
28	34	20
28	35	75
28	36	41
28	37	324
28	38	524
28	39	114
28	40	19
28	41	217
28	42	455
28	43	541
28	44	721
28	45	129
28	46	178
28	47	155
28	48	107
28	49	35
28	50	109
28	51	174
29	1	27
29	2	2
29	3	69
29	4	11
29	5	101
29	6	14
29	7	276
29	8	105
29	9	157
29	10	161
29	11	66
29	12	48
29	13	85
29	14	248
29	15	369
29	16	105
29	17	82
29	18	25
29	19	301
29	20	330
29	21	442
29	22	196
29	23	91
29	24	42
29	25	60
29	26	25
29	27	45
29	28	485
29	29	517
29	30	288
29	31	359
29	32	644
29	33	379
29	34	22
29	35	66
29	36	44
29	37	362
29	38	302
29	39	121
29	40	30
29	41	233
29	42	350
29	43	449
29	44	600
29	45	103
29	46	127
29	47	109
29	48	100
29	49	27
29	50	157
29	51	248
30	1	9
30	3	35
30	4	16
30	5	145
30	6	4
30	7	312
30	8	197
30	9	117
30	10	59
30	11	28
30	12	15
30	13	84
30	14	188
30	15	100
30	16	72
30	17	58
30	18	16
30	19	59
30	20	121
30	21	210
30	22	406
30	23	239
30	24	39
30	25	20
30	26	56
30	27	53
30	28	489
30	29	315
30	30	239
30	31	160
30	32	231
30	33	238
30	34	11
30	35	42
30	36	11
30	37	201
30	38	346
30	39	55
30	40	6
30	41	99
30	42	149
30	43	394
30	44	422
30	45	167
30	46	245
30	47	131
30	48	88
30	49	11
30	50	87
30	51	120
31	1	23
31	2	2
31	3	43
31	4	10
31	5	26
31	6	11
31	7	227
31	8	80
31	9	227
31	10	171
31	11	52
31	12	9
31	13	166
31	14	174
31	15	245
31	16	130
31	17	99
31	18	34
31	19	241
31	20	60
31	21	101
31	22	65
31	23	44
31	24	60
31	25	74
31	26	19
31	27	52
31	28	466
31	29	225
31	30	143
31	31	220
31	32	438
31	33	207
31	34	19
31	35	59
31	36	45
31	37	120
31	38	285
31	39	70
31	40	16
31	41	147
31	42	421
31	43	119
31	44	127
31	45	43
31	46	55
31	47	142
31	48	105
31	49	19
31	50	45
31	51	68
32	1	36
32	2	2
32	3	56
32	4	8
32	5	34
32	6	14
32	7	206
32	8	73
32	9	196
32	10	301
32	11	67
32	12	53
32	13	164
32	14	331
32	15	503
32	16	132
32	17	105
32	18	46
32	19	316
32	20	158
32	21	226
32	22	104
32	23	49
32	24	60
32	25	76
32	26	24
32	27	66
32	28	550
32	29	419
32	30	207
32	31	344
32	32	547
32	33	383
32	34	17
32	35	54
32	36	59
32	37	299
32	38	298
32	39	111
32	40	31
32	41	267
32	42	540
32	43	197
32	44	281
32	45	53
32	46	71
32	47	133
32	48	114
32	49	38
32	50	79
32	51	135
33	1	40
33	2	2
33	3	89
33	4	11
33	5	59
33	6	18
33	7	402
33	8	181
33	9	353
33	10	242
33	11	63
33	12	33
33	13	247
33	14	181
33	15	365
33	16	160
33	17	113
33	18	65
33	19	285
33	20	140
33	21	138
33	22	128
33	23	102
33	24	78
33	25	88
33	26	34
33	27	109
33	28	700
33	29	396
33	30	367
33	31	305
33	32	578
33	33	142
33	34	19
33	35	62
33	36	45
33	37	136
33	38	620
33	39	184
33	40	31
33	41	202
33	42	569
33	43	147
33	44	195
33	45	53
33	46	97
33	47	423
33	48	192
33	49	47
33	50	57
33	51	88
34	1	17
34	3	28
34	5	3
34	6	17
34	7	7
34	8	2
34	9	7
34	10	21
34	11	14
34	12	8
34	13	7
34	14	6
34	15	12
34	16	7
34	17	6
34	18	8
34	19	8
34	20	5
34	21	4
34	22	1
34	24	14
34	25	13
34	27	3
34	28	10
34	29	10
34	30	3
34	31	5
34	32	14
34	33	11
34	34	17
34	35	11
34	36	5
34	37	6
34	38	4
34	39	34
34	40	16
34	41	9
34	42	9
34	43	4
34	44	5
34	45	3
34	46	5
34	47	12
34	48	11
34	49	11
34	50	3
34	51	7
35	1	17
35	2	1
35	3	36
35	4	1
35	5	11
35	6	15
35	7	27
35	8	12
35	9	66
35	10	126
35	11	42
35	12	9
35	13	61
35	14	23
35	15	62
35	16	72
35	17	70
35	18	40
35	19	23
35	20	15
35	21	9
35	22	11
35	23	10
35	24	59
35	25	102
35	26	3
35	27	74
35	28	53
35	29	24
35	30	30
35	31	42
35	32	63
35	33	51
35	34	11
35	35	54
35	36	8
35	37	13
35	38	42
35	39	135
35	40	21
35	41	16
35	42	101
35	43	11
35	44	24
35	45	8
35	46	14
35	47	47
35	48	116
35	49	26
35	50	3
35	51	15
36	1	13
36	2	1
36	3	2
36	5	1
36	6	1
36	7	9
36	8	2
36	9	14
36	10	38
36	11	9
36	12	9
36	13	10
36	14	4
36	15	48
36	16	19
36	17	6
36	18	3
36	19	23
36	20	13
36	21	8
36	22	3
36	24	8
36	25	13
36	27	3
36	28	11
36	29	12
36	30	6
36	31	12
36	32	39
36	33	12
36	34	4
36	35	5
36	36	12
36	37	5
36	38	11
36	39	8
36	40	9
36	41	15
36	42	36
36	43	4
36	44	6
36	46	3
36	47	7
36	48	14
36	49	2
36	50	3
36	51	3
37	1	11
37	2	1
37	3	25
37	4	3
37	5	45
37	6	9
37	7	89
37	8	34
37	9	40
37	10	140
37	11	33
37	12	14
37	13	32
37	14	83
37	15	147
37	16	34
37	17	29
37	18	6
37	19	187
37	20	368
37	21	397
37	22	102
37	23	37
37	24	15
37	25	25
37	26	18
37	27	11
37	28	313
37	29	381
37	30	151
37	31	128
37	32	260
37	33	88
37	34	12
37	35	18
37	36	29
37	37	257
37	38	108
37	39	30
37	40	14
37	41	319
37	42	104
37	43	242
37	44	384
37	45	40
37	46	58
37	47	25
37	48	27
37	49	14
37	50	146
37	51	214
38	1	24
38	2	7
38	3	89
38	4	24
38	5	162
38	6	12
38	7	466
38	8	299
38	9	220
38	10	99
