Global BiFI value is: 621130650.0337
O, D, V1, V2, BI, p-value, BI_Result
(18, 29), 509.862953, 490.8309288, 263284.1984, 0.050, NS
(32, 9), 510.2795344, 506.2151293, 256932.5466, 0.390, NS
(10, 9), 502.0566553, 511.5971215, 255756.1457, 0.200, NS
(3, 18), 497.8527057, 499.4755511, 248744.7505, 0.540, NS
(14, 18), 497.8675657, 504.7421049, 249248.0811, 0.450, NS
(32, 1), 502.6883595, 502.2501401, 254428.2585, 0.220, NS
(7, 10), 502.1935323, 504.2716223, 240161.5097, 0.940, NS
(17, 13), 503.0305898, 508.640169, 255765.7354, 0.310, NS
(34, 14), 493.5922137, 495.2544844, 248040.2035, 0.370, NS
(32, 24), 494.7330371, 510.5712828, 260537.3097, 0.030, LL
(32, 37), 500.461671, 497.5207071, 246552.6173, 0.630, NS
(14, 37), 504.3007008, 500.8831613, 252336.5328, 0.410, NS
(4, 10), 492.8067166, 499.2904595, 246754.5059, 0.500, NS
(7, 2), 497.642196, 502.4459457, 243082.2442, 0.820, NS
(30, 20), 497.804498, 500.260906, 248858.4777, 0.430, NS
(20, 21), 504.545179, 491.9601664, 246124.6779, 0.690, NS
(28, 10), 497.2655476, 482.0486808, 243138.4567, 0.790, NS
(20, 20), 494.9313573, 502.3026741, 248468.6989, 0.410, NS
(32, 21), 499.4766589, 495.4278453, 254827.3338, 0.220, NS
(7, 20), 499.3831047, 493.2901851, 239930.1157, 0.900, NS
(7, 21), 498.4986973, 498.694121, 246737.2010, 0.590, NS
(7, 9), 504.7609707, 497.5641049, 255101.0844, 0.360, NS
(29, 37), 503.251131, 492.4214198, 255031.8961, 0.310, NS
(13, 20), 492.7667862, 496.1036499, 246351.7375, 0.530, NS
(4, 2), 503.8920059, 500.1570199, 256494.7992, 0.300, NS
(29, 14), 498.490613, 486.8849491, 250952.3656, 0.390, NS
(8, 9), 500.4713394, 496.3895492, 249796.1414, 0.480, NS
(17, 37), 496.3842368, 502.3957923, 248341.6817, 0.500, NS
(29, 1), 498.6429888, 498.0356932, 251354.9797, 0.330, NS
(28, 13), 491.561087, 493.1924581, 243493.3735, 0.630, NS
(13, 24), 497.7202071, 496.7002492, 249209.0324, 0.490, NS
(13, 29), 501.8571814, 483.9478179, 248133.8122, 0.670, NS
(29, 18), 498.4926555, 504.9225258, 251346.8572, 0.330, NS
(4, 37), 502.2033814, 498.350279, 251884.9963, 0.470, NS
(8, 21), 501.8591825, 501.8500038, 251955.9831, 0.430, NS
(3, 9), 493.1235935, 502.4971758, 245349.7102, 0.610, NS
(3, 30), 502.2024834, 500.2784015, 250935.9951, 0.550, NS
(10, 10), 500.9922515, 498.7382702, 250448.1028, 0.480, NS
(17, 1), 499.8526132, 495.8266196, 250121.4790, 0.510, NS
