Global BiFlowLISA value is: 42013077.5882
O, D, V1, V2, BI, p-value, BI_Result
(29, 32), 644, 214, 136081.1429, 0.000, NS
(48, 45), 20, 35, 452.5000, 1.000, NS
(40, 41), 1, 50, 63.8000, 0.980, NS
(6, 48), 5, 53, 642.0833, 0.114, NS
(41, 42), 116, 240, 23462.9333, 0.000, NS
(33, 38), 620, 244, 135635.3333, 0.000, NS
(25, 34), 11, 77, 1536.9200, 0.067, NS
(44, 47), 56, 141, 5545.8667, 0.652, NS
(36, 48), 14, 57, 2480.8000, 0.001, LL
(30, 4), 16, 20, 683.3333, 1.000, NS
(29, 45), 103, 117, 8519.5714, 0.884, NS
(21, 41), 218, 169, 36987.3333, 0.005, HH
(22, 5), 236, 50, 37423.4815, 0.001, HH
(14, 1), 22, 31, 2178.9167, 0.604, NS
(25, 47), 24, 142, 2803.2000, 0.296, NS
(15, 2), 2, 1, 109.1304, 0.997, NS
(26, 11), 2, 6, 10.7143, 1.000, NS
(18, 7), 21, 45, 2225.1250, 0.457, NS
(17, 48), 183, 231, 37127.2143, 0.000, NS
(9, 44), 79, 124, 7999.6905, 0.646, NS
(44, 1), 11, 27, 517.0000, 1.000, NS
(10, 8), 29, 118, 2485.7143, 0.848, NS
(3, 5), 8, 8, 229.6774, 1.000, NS
(22, 18), 12, 17, 592.0000, 1.000, NS
(14, 14), 81, 80, 19665.0000, 0.000, NS
(7, 11), 20, 83, 730.6250, 1.000, NS
(48, 12), 18, 36, 736.4348, 1.000, NS
(40, 8), 2, 13, 83.7500, 0.999, NS
(6, 15), 10, 44, 1483.8889, 0.012, LL
(41, 9), 38, 126, 5787.9429, 0.010, LL
(33, 5), 59, 29, 4079.7407, 0.997, NS
(25, 1), 95, 171, 19636.5000, 0.000, NS
(44, 14), 120, 94, 16296.6667, 0.061, NS
(10, 21), 89, 114, 5412.0476, 1.000, NS
(2, 17), 1, 0, 56.4000, 0.996, NS
(34, 6), 17, 52, 2421.3667, 0.039, LL
(37, 11), 33, 75, 1359.6000, 1.000, NS
