Global BiFlowLISA value is: 42013077.5882. It is significantly positive at 0.05 level
O, D, V1, V2, BI, p-value, pattern
29, 32, 644,214,136081.14285714284,0.0, HH
48, 45, 20,35,452.5,1.0, NS
40, 41, 1,50,63.8,0.98, NS
6, 48, 5,53,642.0833333333333,0.108, NS
41, 42, 116,240,23462.933333333334,0.0, HH
33, 38, 620,244,135635.33333333334,0.0, HH
25, 34, 11,77,1536.92,0.074, NS
44, 47, 56,141,5545.866666666667,0.646, NS
36, 48, 14,57,2480.7999999999997,0.0, LL
30, 4, 16,20,683.3333333333334,1.0, NS
29, 45, 103,117,8519.571428571428,0.897, NS
21, 41, 218,169,36987.33333333333,0.002, HH
22, 5, 236,50,37423.48148148148,0.001, HH
14, 1, 22,31,2178.916666666667,0.609, NS
25, 47, 24,142,2803.2,0.291, NS
15, 2, 2,1,109.1304347826087,0.998, NS
26, 11, 2,6,10.714285714285714,1.0, NS
18, 7, 21,45,2225.125,0.481, NS
17, 48, 183,231,37127.21428571428,0.0, HH
9, 44, 79,124,7999.690476190476,0.58, NS
44, 1, 11,27,517.0,0.999, NS
10, 8, 29,118,2485.7142857142853,0.86, NS
3, 5, 8,8,229.67741935483872,1.0, NS
22, 18, 12,17,592.0,1.0, NS
14, 14, 81,80,19665.0,0.0, LL
7, 11, 20,83,730.625,1.0, NS
48, 12, 18,36,736.4347826086956,1.0, NS
40, 8, 2,13,83.75,1.0, NS
6, 15, 10,44,1483.888888888889,0.009, LL
41, 9, 38,126,5787.942857142857,0.01, LL
33, 5, 59,29,4079.740740740741,0.998, NS
25, 1, 95,171,19636.5,0.0, HH
44, 14, 120,94,16296.666666666664,0.057, NS
10, 21, 89,114,5412.047619047619,1.0, NS
2, 17, 1,0,56.4,0.997, NS
34, 6, 17,52,2421.366666666667,0.041, LL
37, 11, 33,75,1359.6000000000001,1.0, NS
3, 18, 47,69,8051.954545454545,0.006, LL
36, 15, 48,99,11998.4,0.0, LL
47, 24, 22,154,2902.5333333333333,0.104, NS
5, 27, 12,15,642.1333333333333,1.0, NS
29, 12, 48,31,1825.8461538461538,1.0, NS
48, 25, 110,267,19220.666666666664,0.0, HH
21, 8, 31,52,3021.208333333333,0.629, NS
40, 21, 1,32,32.583333333333336,1.0, NS
6, 28, 8,28,661.3333333333334,0.914, NS
33, 18, 65,53,10977.777777777777,0.001, LL
25, 14, 28,62,3299.333333333333,0.291, NS
32, 22, 104,109,12873.714285714286,0.145, NS
51, 35, 6,19,238.79999999999998,0.999, NS
43, 31, 97,120,12584.133333333331,0.115, NS
35, 27, 74,202,13823.2,0.0, LL
1, 34, 2,24,209.1,0.537, NS
17, 15, 145,231,34668.80952380953,0.0, HH
36, 28, 11,81,1862.3000000000002,0.004, LL
9, 11, 47,89,1967.2857142857142,1.0, NS
28, 24, 69,126,6811.833333333334,0.654, NS
47, 37, 19,58,1832.36,0.673, NS
5, 40, 2,3,36.388888888888886,1.0, NS
29, 25, 60,111,5816.571428571428,0.687, NS
21, 21, 617,289,184191.63888888888,0.0, HH
39, 38, 102,147,6494.849999999999,0.999, NS
31, 34, 19,40,1471.2333333333333,0.947, NS
13, 22, 48,48,5038.4,0.511, NS
32, 35, 54,98,6111.257142857143,0.335, NS
51, 48, 13,41,501.58333333333337,1.0, NS
24, 31, 46,133,5669.5,0.149, NS
43, 44, 1881,621,463415.7,0.0, HH
16, 27, 128,214,34647.04,0.0, HH
35, 40, 21,61,2642.85,0.187, NS
1, 47, 9,62,829.35,0.72, NS
17, 28, 62,97,7897.619047619048,0.093, NS
9, 24, 68,192,8535.619047619048,0.123, NS
28, 37, 324,253,59151.6,0.0, HH
27, 41, 14,34,1390.48,0.622, NS
30, 46, 245,143,36155.875,0.008, HH
20, 38, 52,107,7724.6,0.045, LL
39, 51, 16,73,464.0,1.0, NS
12, 34, 38,23,2487.1,0.972, NS
31, 47, 142,276,34013.73333333333,0.0, HH
4, 30, 15,23,685.625,1.0, NS
23, 43, 168,215,23772.0,0.081, NS
13, 35, 64,142,11988.48,0.001, LL
24, 44, 22,69,1161.7222222222222,1.0, NS
16, 40, 43,86,7789.45,0.002, LL
50, 38, 48,80,5158.4,0.448, NS
42, 34, 24,53,2133.6000000000004,0.813, NS
8, 41, 22,64,2644.4,0.259, NS
19, 50, 36,58,2923.2000000000003,0.82, NS
11, 46, 8,18,79.2,1.0, NS
20, 51, 440,233,103510.0,0.0, HH
12, 47, 15,41,670.2631578947368,1.0, NS
4, 43, 33,51,1553.2,0.995, NS
47, 4, 2,20,57.86666666666667,1.0, NS
5, 7, 102,40,11884.416666666666,0.198, NS
46, 45, 1133,461,212437.5,0.001, HH
38, 41, 166,159,29860.079999999998,0.003, HH
49, 50, 6,10,198.66666666666669,1.0, NS
39, 5, 9,8,225.12676056338026,1.0, NS
31, 1, 23,74,3389.625,0.043, LL
50, 51, 354,174,76169.0,0.002, HH
42, 47, 250,453,58733.333333333336,0.0, HH
32, 2, 2,0,81.55555555555556,1.0, NS
51, 15, 44,84,3998.5,0.751, NS
43, 11, 22,31,469.70000000000005,1.0, NS
35, 7, 27,74,2527.875,0.793, NS
1, 14, 4,49,439.5,0.416, NS
34, 48, 11,40,1038.0333333333333,0.714, NS
28, 4, 12,36,428.0,1.0, NS
20, 5, 80,30,11368.888888888889,0.035, LL
39, 18, 111,182,17325.25,0.0, HH
12, 1, 23,32,1564.0,0.915, NS
31, 14, 174,154,45196.5,0.0, HH
23, 10, 8,61,350.0,1.0, NS
24, 11, 44,162,4220.333333333334,0.671, NS
16, 7, 63,104,10325.7,0.001, LL
50, 5, 59,23,7814.222222222223,0.108, NS
42, 1, 79,172,14348.375,0.001, LL
8, 8, 91,103,20253.1875,0.0, LL
27, 21, 14,49,830.6666666666667,0.999, NS
19, 17, 64,142,10229.028571428571,0.003, LL
11, 13, 13,49,698.75,0.994, NS
30, 26, 56,34,3619.0,0.997, NS
20, 18, 9,27,414.375,1.0, NS
12, 14, 9,14,358.875,1.0, NS
4, 10, 1,14,8.952380952380953,1.0, NS
23, 23, 322,177,74039.875,0.0, HH
46, 12, 3,9,25.349999999999998,1.0, NS
38, 8, 299,213,65182.0,0.0, HH
49, 17, 24,51,2615.478260869565,0.393, NS
15, 24, 93,199,19039.166666666668,0.0, LL
7, 20, 94,117,7901.875,0.895, NS
26, 33, 12,18,335.0,1.0, NS
18, 29, 21,32,1895.0,0.861, NS
50, 18, 2,21,71.66666666666667,1.0, NS
42, 14, 211,215,46677.88888888889,0.0, HH
8, 21, 24,67,2375.0,0.623, NS
19, 30, 44,84,6255.700000000001,0.025, LL
11, 26, 3,13,18.0,1.0, NS
34, 15, 12,42,1243.1999999999998,0.514, NS
45, 24, 5,18,81.875,1.0, NS
37, 20, 368,218,65724.8,0.008, HH
3, 27, 86,141,11098.526315789473,0.154, NS
22, 40, 8,15,190.33333333333334,1.0, NS
14, 36, 11,27,1471.8000000000002,0.089, NS
46, 25, 10,32,242.39999999999998,1.0, NS
38, 21, 154,103,22771.466666666667,0.023, HH
49, 30, 16,26,763.5555555555555,1.0, NS
15, 37, 146,125,21758.866666666665,0.018, HH
7, 33, 291,306,62067.875,0.0, HH
26, 46, 346,258,44270.700000000004,0.178, NS
18, 42, 94,157,17063.61111111111,0.0, HH
41, 31, 120,238,30056.0,0.0, HH
33, 27, 109,106,25400.63333333333,0.0, HH
25, 23, 8,21,310.4,1.0, NS
44, 36, 18,26,1232.4,0.984, NS
10, 43, 49,79,2308.6,1.0, NS
2, 39, 1,4,59.733333333333334,0.996, NS
34, 28, 10,37,714.3333333333334,0.974, NS
45, 37, 42,66,3112.2,0.927, NS
37, 33, 88,139,12061.866666666667,0.057, NS
3, 40, 15,51,1207.0,0.818, NS
14, 49, 20,32,1175.7142857142858,1.0, NS
29, 34, 22,20,1193.6571428571428,1.0, NS
48, 47, 166,291,26797.933333333334,0.005, HH
40, 43, 1,34,25.7,1.0, NS
6, 50, 5,8,160.0,1.0, NS
41, 44, 108,126,17136.0,0.008, HH
33, 40, 31,65,2610.458333333333,0.854, NS
25, 36, 18,58,3689.28,0.0, LL
44, 49, 11,20,367.5609756097561,1.0, NS
36, 50, 3,16,188.2,0.964, NS
28, 46, 178,194,21063.333333333332,0.26, NS
27, 1, 10,27,1124.5,0.375, NS
30, 6, 4,8,208.58333333333334,1.0, NS
29, 47, 109,146,16293.942857142858,0.014, HH
21, 43, 811,488,229675.19999999998,0.0, HH
22, 7, 497,253,85960.29166666667,0.0, HH
14, 3, 40,46,2866.666666666667,0.956, NS
15, 4, 5,12,89.44444444444444,1.0, NS
26, 13, 10,15,265.0,1.0, NS
18, 9, 53,70,7961.357142857143,0.006, LL
17, 50, 15,26,634.2857142857142,1.0, NS
9, 46, 73,83,5345.685714285714,0.98, NS
