O, D, V, GearyC, p-value, pattern
18, 29, 509.862953, 8388693.185729662, 0.325, NS
32, 9, 510.2795344, 7646355.987734085, 0.34, NS
10, 9, 502.0566553, 3890255.0737631693, 0.761, NS
3, 18, 497.8527057, 798.0496009274674, 1.0, similar
14, 18, 497.8675657, 1543.9177095388097, 1.0, similar
32, 1, 502.6883595, 3360185.097735717, 0.874, NS
7, 10, 502.1935323, 4796414.325070069, 0.585, NS
17, 13, 503.0305898, 3984782.2131393123, 0.726, NS
34, 14, 493.5922137, 7051137.017960016, 0.376, NS
32, 24, 494.7330371, 2514050.891535771, 0.638, NS
32, 37, 500.461671, 5184812.370923942, 0.494, NS
14, 37, 504.3007008, 2121.1495313153723, 1.0, similar
4, 10, 492.8067166, 2416.4546017980797, 1.0, similar
7, 2, 497.642196, 9275625.824688388, 0.287, NS
30, 20, 497.804498, 526.6096697699186, 1.0, similar
20, 21, 504.545179, 2591550.8613291113, 0.494, NS
28, 10, 497.2655476, 3788201.286033941, 0.762, NS
20, 20, 494.9313573, 1663254.8684867811, 0.859, NS
32, 21, 499.4766589, 4260006.638742279, 0.42, NS
7, 20, 499.3831047, 4976543.229943307, 0.4, NS
7, 21, 498.4986973, 6624420.950408158, 0.266, NS
7, 9, 504.7609707, 7508795.535441232, 0.345, NS
29, 37, 503.251131, 1917567.5399979402, 0.965, similar
13, 20, 492.7667862, 1774.6263094025358, 1.0, similar
4, 2, 503.8920059, 2137769.2081752596, 0.74, NS
29, 14, 498.490613, 1909736.2459133966, 0.975, similar
8, 9, 500.4713394, 2550110.0334020006, 0.64, NS
17, 37, 496.3842368, 1990.4015690647773, 1.0, similar
29, 1, 498.6429888, 1968863.0341570706, 0.966, similar
28, 13, 491.561087, 7045165.611033859, 0.356, NS
13, 24, 497.7202071, 615.5443618398386, 1.0, similar
13, 29, 501.8571814, 5783847.710524897, 0.476, NS
29, 18, 498.4926555, 956138.7416776889, 1.0, similar
4, 37, 502.2033814, 1190.471207751079, 1.0, similar
8, 21, 501.8591825, 1296594.1002659122, 0.846, NS
3, 9, 493.1235935, 2835241.190394408, 0.769, NS
3, 30, 502.2024834, 454.75406117239913, 1.0, similar
10, 10, 500.9922515, 1062.8004475150606, 1.0, similar
17, 1, 499.8526132, 1154.8667875599328, 1.0, similar
13, 14, 496.2005079, 2011.6366775216443, 1.0, similar
1, 8, 499.4071503, 1741969.007600026, 0.832, NS
28, 21, 495.5140277, 4766885.27421909, 0.405, NS
20, 14, 496.9702656, 1925069.3248351582, 0.964, similar
13, 15, 500.9570422, 804.2441552234411, 1.0, similar
20, 29, 503.0793019, 5093790.456423415, 0.359, NS
28, 15, 501.9450432, 2461444.8711228934, 0.844, NS
3, 15, 501.1309213, 782.5531414971089, 1.0, similar
32, 30, 504.2956249, 1977854.8090314846, 0.813, NS
1, 18, 498.4995697, 616.3559949777537, 1.0, similar
32, 10, 493.6895257, 3803215.357503147, 0.751, NS
32, 18, 503.1908551, 4217870.171790329, 0.666, NS
29, 8, 497.4363044, 2431251.530069457, 0.602, NS
17, 24, 491.7906429, 2040.4449683841992, 1.0, similar
14, 14, 504.1939116, 2183.210242506962, 1.0, similar
4, 17, 500.1531871, 4218554.692612968, 0.329, NS
28, 17, 494.923258, 9183929.218091449, 0.282, NS
8, 18, 498.1984773, 442.7323938089752, 1.0, similar
10, 17, 498.3963235, 6374260.631235429, 0.393, NS
1, 37, 498.3083324, 1218.8220872584945, 1.0, similar
10, 20, 499.2534264, 471.9229736884985, 1.0, similar
7, 17, 505.9968753, 9319936.408007994, 0.296, NS
34, 29, 496.1309104, 9913374.186851425, 0.25, NS
8, 20, 500.5842958, 507.95896614912476, 1.0, similar
28, 29, 491.1785335, 9211371.729125414, 0.257, NS
10, 14, 506.8010859, 3532.0788989595926, 1.0, similar
1, 9, 501.3194192, 3347159.861601011, 0.606, NS
18, 20, 494.363416, 3319845.1387619046, 0.585, NS
18, 9, 498.6753871, 7533649.472913203, 0.356, NS
7, 29, 505.2939934, 9384231.570361154, 0.279, NS
13, 13, 495.1683751, 3744968.6567393797, 0.796, NS
8, 24, 493.1673826, 339.75435262882945, 1.0, similar
14, 10, 501.6873117, 1186.157304857781, 1.0, similar
30, 29, 489.3857077, 8078368.682171889, 0.348, NS
20, 15, 495.7526741, 777291.9972762167, 0.999, similar
18, 8, 510.9089161, 3821465.397180186, 0.49, NS
17, 14, 496.8266057, 1660.823304334317, 1.0, similar
17, 2, 496.5575277, 4869304.196408561, 0.569, NS
8, 17, 497.1102826, 3768355.0864440603, 0.407, NS
3, 29, 489.7173312, 3492007.7270942642, 0.556, NS
