O, D, V, GetisG, p-value, pattern
18, 29, 509.862953, -2.5387122177416686, 0.999, cold
32, 9, 510.2795344, -3.884149946547354, 1.0, cold
10, 9, 502.0566553, -6.902875261775503, 1.0, cold
3, 18, 497.8527057, -9.005902134174505, 1.0, cold
14, 18, 497.8675657, -10.711801177416126, 1.0, cold
32, 1, 502.6883595, -7.2079116785331125, 1.0, cold
7, 10, 502.1935323, -5.65577487056987, 1.0, cold
17, 13, 503.0305898, -6.895144879134612, 1.0, cold
34, 14, 493.5922137, -4.5234485659120525, 1.0, cold
32, 24, 494.7330371, -4.875494399735055, 1.0, cold
32, 37, 500.461671, -6.410244453572793, 1.0, cold
14, 37, 504.3007008, -10.707057359150683, 1.0, cold
4, 10, 492.8067166, -7.95809816324795, 1.0, cold
7, 2, 497.642196, -2.3231973720813057, 0.992, cold
30, 20, 497.804498, -9.008924991060711, 1.0, cold
20, 21, 504.545179, -4.314380446916849, 1.0, cold
28, 10, 497.2655476, -6.968206155700038, 1.0, cold
20, 20, 494.9313573, -5.523005780472113, 1.0, cold
32, 21, 499.4766589, -4.003878107030181, 1.0, cold
7, 20, 499.3831047, -3.7867685989671522, 1.0, cold
7, 21, 498.4986973, -2.34804565179076, 0.992, cold
7, 9, 504.7609707, -3.420074065794858, 0.999, cold
29, 37, 503.251131, -6.80257924151776, 1.0, cold
13, 20, 492.7667862, -8.995924674145268, 1.0, cold
4, 2, 503.8920059, -5.284140535588999, 1.0, cold
29, 14, 498.490613, -6.8769417017175885, 1.0, cold
8, 9, 500.4713394, -4.916400710293092, 1.0, cold
17, 37, 496.3842368, -10.71572554374418, 1.0, cold
29, 1, 498.6429888, -6.811920195215155, 1.0, cold
28, 13, 491.561087, -4.154863050197935, 1.0, cold
13, 24, 497.7202071, -8.014527574224333, 1.0, cold
13, 29, 501.8571814, -4.986533846395194, 1.0, cold
29, 18, 498.4926555, -7.46375600279202, 1.0, cold
4, 37, 502.2033814, -7.975226505391022, 1.0, cold
8, 21, 501.8591825, -4.881726235124981, 1.0, cold
3, 9, 493.1235935, -5.765661876241761, 1.0, cold
3, 30, 502.2024834, -6.658352377741154, 1.0, cold
10, 10, 500.9922515, -10.692092479316395, 1.0, cold
17, 1, 499.8526132, -10.713645715248406, 1.0, cold
13, 14, 496.2005079, -10.713771404823206, 1.0, cold
1, 8, 499.4071503, -5.3153860865885445, 1.0, cold
28, 21, 495.5140277, -4.074182936493687, 1.0, cold
20, 14, 496.9702656, -6.869028646292649, 1.0, cold
13, 15, 500.9570422, -8.973205415167953, 1.0, cold
20, 29, 503.0793019, -3.0033968892067926, 0.998, cold
28, 15, 501.9450432, -5.910831978505496, 1.0, cold
3, 15, 501.1309213, -7.533398697505662, 1.0, cold
32, 30, 504.2956249, -5.395521337346218, 1.0, cold
1, 18, 498.4995697, -9.008525207809825, 1.0, cold
32, 10, 493.6895257, -7.23618231137686, 1.0, cold
32, 18, 503.1908551, -6.7076647273063505, 1.0, cold
29, 8, 497.4363044, -4.100992239431894, 1.0, cold
17, 24, 491.7906429, -7.986012971349732, 1.0, cold
14, 14, 504.1939116, -10.71480891976167, 1.0, cold
4, 17, 500.1531871, -3.41323029815627, 0.999, cold
28, 17, 494.923258, -2.3634233854635367, 0.995, cold
8, 18, 498.1984773, -8.010834823370864, 1.0, cold
10, 17, 498.3963235, -4.601049193199544, 1.0, cold
1, 37, 498.3083324, -8.978580705352075, 1.0, cold
10, 20, 499.2534264, -8.987574396415054, 1.0, cold
7, 17, 505.9968753, -1.5514160151716323, 0.937, NS
34, 29, 496.1309104, -1.7379734579300685, 0.956, cold
8, 20, 500.5842958, -6.707340691251194, 1.0, cold
28, 29, 491.1785335, -2.3927287628070535, 0.99, cold
10, 14, 506.8010859, -10.719138552162402, 1.0, cold
1, 9, 501.3194192, -5.417353755901633, 1.0, cold
18, 20, 494.363416, -5.646914792199316, 1.0, cold
18, 9, 498.6753871, -3.7940295851571926, 1.0, cold
7, 29, 505.2939934, -1.5564230489610311, 0.935, NS
13, 13, 495.1683751, -7.029080316477167, 1.0, cold
8, 24, 493.1673826, -5.9601022661609, 1.0, cold
14, 10, 501.6873117, -10.674040253883211, 1.0, cold
30, 29, 489.3857077, -3.991822851908597, 1.0, cold
20, 15, 495.7526741, -6.1263672729637175, 1.0, cold
18, 8, 510.9089161, -4.2860182425604005, 1.0, cold
17, 14, 496.8266057, -10.721335892207266, 1.0, cold
17, 2, 496.5575277, -6.592488587329311, 1.0, cold
8, 17, 497.1102826, -3.4458954514891538, 0.999, cold
3, 29, 489.7173312, -4.743837124434921, 1.0, cold
10, 18, 493.951333, -10.721311005077368, 1.0, cold
8, 37, 503.7991679, -7.966762509022529, 1.0, cold
13, 21, 507.7113494, -6.369629495235996, 1.0, cold
10, 21, 501.8529336, -6.622141882743432, 1.0, cold
18, 14, 506.9007251, -7.02761746155838, 1.0, cold
28, 20, 493.6421904, -5.684542265466407, 1.0, cold
17, 18, 506.7685321, -10.747369204063684, 1.0, cold
7, 30, 505.0482497, -4.286950123608296, 1.0, cold
8, 29, 498.5534778, -2.673010280552093, 0.996, cold
34, 1, 504.118781, -5.149871222189223, 1.0, cold
34, 13, 499.8224022, -3.2037664801531385, 0.997, cold
3, 20, 496.7095934, -7.538221226500236, 1.0, cold
29, 24, 492.4042097, -5.3700426786810525, 1.0, cold
13, 17, 495.025505, -4.178351766471936, 1.0, cold
10, 37, 496.6721585, -10.716037456265763, 1.0, cold
8, 8, 487.6214387, -5.107955492292314, 1.0, cold
30, 1, 504.3947677, -10.739220973763699, 1.0, cold
