Global Moran's I value is: 718598.1576. It is positive, significantly at 0.01 level.
O, D, V, MoranI, p-value, pattern
18, 29, 509.862953, 776.7524635014946, 0.002, LL
32, 9, 510.2795344, 1154.6320541989364, 0.0, LL
10, 9, 502.0566553, 2047.2015383962635, 0.0, LL
3, 18, 497.8527057, 3188.0446133089417, 0.0, LL
14, 18, 497.8675657, 3174.750251731355, 0.0, LL
32, 1, 502.6883595, 2131.4261457655666, 0.0, LL
7, 10, 502.1935323, 1688.2730466790736, 0.0, LL
17, 13, 503.0305898, 2039.9181272678236, 0.0, LL
34, 14, 493.5922137, 1393.313410356086, 0.0, LL
32, 24, 494.7330371, 2002.3393265667592, 0.0, LL
32, 37, 500.461671, 1913.3948429777881, 0.0, LL
14, 37, 504.3007008, 3122.559526815018, 0.0, LL
4, 10, 492.8067166, 3210.680406586761, 0.0, LL
7, 2, 497.642196, 739.9530465200297, 0.004, LL
30, 20, 497.804498, 3189.469903345321, 0.0, LL
20, 21, 504.545179, 1846.4402694975074, 0.0, LL
28, 10, 497.2655476, 2091.134710256207, 0.0, LL
20, 20, 494.9313573, 2387.6716558379935, 0.0, LL
32, 21, 499.4766589, 1461.7850465389579, 0.0, LL
7, 20, 499.3831047, 1387.760406279261, 0.0, LL
7, 21, 498.4986973, 896.997476870773, 0.004, LL
7, 9, 504.7609707, 1039.0683943292534, 0.001, LL
29, 37, 503.251131, 2397.1773691441126, 0.0, LL
13, 20, 492.7667862, 3225.2736870788963, 0.0, LL
4, 2, 503.8920059, 2110.056372619575, 0.0, LL
29, 14, 498.490613, 2451.9790299303963, 0.0, LL
8, 9, 500.4713394, 1988.544068715488, 0.0, LL
17, 37, 496.3842368, 3187.619574588998, 0.0, LL
29, 1, 498.6429888, 2428.715937711787, 0.0, LL
28, 13, 491.561087, 1291.8262606673134, 0.0, LL
13, 24, 497.7202071, 3192.9733712457682, 0.0, LL
13, 29, 501.8571814, 1497.3343996935464, 0.0, LL
29, 18, 498.4926555, 2653.4435638883633, 0.0, LL
4, 37, 502.2033814, 3141.894781420073, 0.0, LL
8, 21, 501.8591825, 2343.1718558203224, 0.0, LL
3, 9, 493.1235935, 2098.7889738815397, 0.0, LL
3, 30, 502.2024834, 3136.2426182432496, 0.0, LL
10, 10, 500.9922515, 3144.3768255635455, 0.0, LL
17, 1, 499.8526132, 3159.593695032255, 0.0, LL
13, 14, 496.2005079, 3188.5030087605987, 0.0, LL
1, 8, 499.4071503, 2276.4233475083834, 0.0, LL
28, 21, 495.5140277, 1501.1735229506507, 0.0, LL
20, 14, 496.9702656, 2458.699880860375, 0.0, LL
13, 15, 500.9570422, 3152.0558502069352, 0.0, LL
20, 29, 503.0793019, 1108.4389720545873, 0.001, LL
28, 15, 501.9450432, 2101.615130510103, 0.0, LL
3, 15, 501.1309213, 3159.576679000371, 0.0, LL
32, 30, 504.2956249, 2149.940902814314, 0.0, LL
1, 18, 498.4995697, 3183.7703572607866, 0.0, LL
32, 10, 493.6895257, 2188.5137078831367, 0.0, LL
32, 18, 503.1908551, 1985.365955833897, 0.0, LL
29, 8, 497.4363044, 1794.488474629976, 0.001, LL
17, 24, 491.7906429, 3229.7085613382887, 0.0, LL
14, 14, 504.1939116, 3125.618334043565, 0.0, LL
4, 17, 500.1531871, 1416.1274066681483, 0.0, LL
28, 17, 494.923258, 757.0554245839689, 0.003, LL
8, 18, 498.1984773, 3187.6990556160736, 0.0, LL
10, 17, 498.3963235, 1398.887638017037, 0.001, LL
1, 37, 498.3083324, 3175.014813877814, 0.0, LL
10, 20, 499.2534264, 3170.5585972240124, 0.0, LL
7, 17, 505.9968753, 503.97111352262823, 0.03, LL
34, 29, 496.1309104, 572.3086151891955, 0.023, LL
8, 20, 500.5842958, 3171.39617136632, 0.0, LL
28, 29, 491.1785335, 773.1734566802313, 0.004, LL
10, 14, 506.8010859, 3106.249087501984, 0.0, LL
1, 9, 501.3194192, 1936.7323444378521, 0.0, LL
18, 20, 494.363416, 2051.052874322846, 0.0, LL
